time,PM1,PM2.5,PM10,BM680 Temp,BM680 Gas,BM680 Humidity,BM680 Pressure,BM680 Altitude
2 / 28 / 2025,2,3,3,33.3919140625,20648,100,766.5663078336963,2292.2296779401804
2 / 28 / 2025,2,3,3,24.1755078125,2538,41.64347517103599,1001.4143806295854,99.0089268924176
2 / 28 / 2025,2,3,3,24.242890625,3868,41.583754778141234,1001.4186124602821,98.97335727641416
2 / 28 / 2025,3,4,4,24.3196484375,5108,41.47626964959172,1001.4209340057783,98.95384414628917
2 / 28 / 2025,3,4,4,24.3942578125,6777,41.34421242894551,1001.4162016890415,98.99362040844967
2 / 28 / 2025,3,4,4,24.4657421875,8521,41.21189430656592,1001.4304470434489,98.8738852335203
2 / 28 / 2025,4,5,5,24.528046875,10311,41.029961817625185,1001.4174817586156,98.98286110030372
2 / 28 / 2025,4,5,5,24.5809765625,12705,40.94447871358382,1001.4100748219658,99.04511842823251
2 / 28 / 2025,3,4,4,24.6235546875,14697,40.82142362605429,1001.3975225988554,99.15062414714708
2 / 28 / 2025,4,4,5,24.6622265625,16728,41.09943547672528,1001.419292341605,98.96764271189252
2 / 28 / 2025,4,4,5,24.7106640625,18782,40.86740195201019,1001.4287328268641,98.88829350845334
2 / 28 / 2025,5,5,6,24.7481640625,20745,40.4159996925235,1001.4210950975903,98.9524901334861
2 / 28 / 2025,5,6,7,24.775703125,22596,40.21895381706588,1001.4052578804955,99.08560633854266
2 / 28 / 2025,5,6,7,24.80578125,25276,40.16162732491243,1001.4007302350603,99.12366276832533
2 / 28 / 2025,5,6,7,24.8317578125,27311,40.28559259708183,1001.4081793940965,99.06105007768163
2 / 28 / 2025,6,8,9,24.856171875,29444,40.276107664174916,1001.4113498611944,99.03440134829823
2 / 28 / 2025,6,8,9,24.8786328125,31460,40.30884011011846,1001.4261765013043,98.90977988619889
2 / 28 / 2025,6,8,9,24.9003125,33414,40.27481405600817,1001.4305912972053,98.87267275766534
2 / 28 / 2025,8,10,11,24.9247265625,34950,40.25320857366457,1001.4374322813591,98.81517335590426
2 / 28 / 2025,8,10,11,24.947578125,36878,40.31023089728969,1001.4363178826582,98.82454000679084
