time,PM1,PM2.5,PM10
2 / 14 / 2025,0,1,1
2 / 14 / 2025,0,1,1
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,1,1
2 / 14 / 2025,0,1,1
2 / 14 / 2025,0,1,1
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
2 / 14 / 2025,0,0,0
